"","earn","sex","race","hisp","ed","height","age"
"208",44000,"female","white","no","high school",63,39
"212",30000,"female","white","no","university or higher",64,43
"217",10000,"female","white","no","university or higher",62,40
"218",23000,"female","white","no","university or higher",70,42
"220",45000,"male","white","no","university or higher",71,62
"221",15000,"male","white","no","university or higher",71,31
"224",17000,"male","white","no","university or higher",67,31
"225",30000,"female","white","no","high school",64,32
"226",27500,"female","white","no","high school",67,30
"227",5688,"female","white","no","elementary",62,69
"228",18000,"female","white","yes","university or higher",62,56
"232",43000,"male","black","no","university or higher",68,44
"233",32000,"female","black","no","university or higher",62,44
"236",10000,"female","black","no","university or higher",68,56
"240",60000,"male","white","no","university or higher",74,45
"244",21000,"female","native american","no","high school",68,50
"249",27000,"male","white","no","high school",68,27
"250",6600,"female","white","yes","university or higher",60,28
"252",16000,"male","white","no","elementary",68,43
"253",90000,"male","white","no","high school",72,26
"254",8000,"female","white","no","high school",66,42
"255",20000,"male","white","no","high school",68,32
"256",15000,"female","white","no","high school",68,18
"257",12000,"female","white","no","high school",69,60
"259",24000,"female","white","no","university or higher",64,46
"260",20000,"female","white","no","university or higher",65,39
"262",19000,"female","white","no","high school",61,46
"264",10000,"male","white","no","high school",72,49
"265",40000,"female","white","no","university or higher",66,34
"273",25000,"male","white","no","university or higher",68,64
"274",25000,"male","white","no","high school",70,24
"275",25000,"male","white","no","university or higher",71,32
"276",19000,"male","white","no","university or higher",71,61
"277",44000,"male","white","no","university or higher",68,48
"280",15000,"female","white","no","university or higher",60,49
"281",17000,"female","white","no","high school",63,36
"282",24000,"male","white","no","high school",68,56
"284",23000,"female","white","no","high school",64,37
"285",13000,"male","white","no","high school",70,74
"288",65000,"male","white","no","university or higher",68,46
"289",7000,"female","white","no","high school",61,63
"291",40000,"male","white","no","university or higher",68,63
"292",15000,"female","white","no","university or higher",66,43
"293",20000,"male","white","no","university or higher",70,25
"296",20000,"male","white","no","high school",71,50
"298",20000,"female","white","no","high school",65,42
"299",25000,"female","white","no","high school",66,49
"301",49000,"male","white","no","university or higher",70,37
"306",25000,"female","white","no","high school",62,65
"311",11000,"female","white","no","university or higher",66,57
"312",16000,"female","white","no","university or higher",61,38
"313",35000,"male","white","no","university or higher",72,43
"315",23000,"female","white","no","high school",67,47
"316",17000,"female","white","no","university or higher",66,28
"318",27000,"female","white","no","high school",62,41
"319",70000,"male","white","no","university or higher",72,32
"320",35000,"female","white","no","university or higher",65,47
"321",10000,"female","white","no","high school",60,62
"323",35000,"female","white","no","university or higher",62,39
"324",15000,"female","white","no","high school",66,38
"325",12000,"female","white","no","high school",64,39
"326",8000,"male","white","no","high school",71,68
"327",8000,"female","white","no","high school",65,50
"328",35000,"male","white","no","university or higher",73,50
"329",45000,"male","white","no","high school",69,51
"334",15000,"female","white","no","university or higher",64,22
"335",15000,"female","white","no","high school",61,77
"337",24000,"female","white","no","university or higher",67,51
"338",25000,"female","white","no","university or higher",62,32
"340",25000,"female","black","no","university or higher",63,54
"341",20000,"male","asian","no","high school",67,28
"342",24000,"female","white","no","high school",68,24
"343",44000,"male","white","no","university or higher",72,46
"344",69000,"male","white","no","high school",70,38
"345",62000,"male","white","no","university or higher",70,44
"347",32000,"male","black","no","university or higher",67,32
"348",20000,"female","black","no","high school",63,33
"349",32000,"female","asian","no","university or higher",66,35
"350",25000,"female","white","no","university or higher",66,50
"354",35000,"male","white","no","university or higher",67,33
"355",40000,"male","black","no","university or higher",76,38
"356",33000,"male","white","no","university or higher",69,30
"357",18000,"female","white","no","high school",65,22
"360",30000,"female","white","no","university or higher",62,43
"361",26000,"female","white","no","high school",62,31
"364",20000,"female","white","no","university or higher",62,73
"367",17000,"female","white","no","high school",61,30
"368",32000,"female","white","no","university or higher",65,28
"369",15000,"male","white","no","university or higher",72,22
"371",50000,"male","white","no","university or higher",72,55
"372",8000,"female","white","no","high school",64,39
"373",40000,"male","white","no","university or higher",71,51
"374",40000,"male","white","no","university or higher",72,41
"375",32750,"male","white","no","high school",66,34
"377",20000,"female","white","no","university or higher",65,69
"378",36000,"female","black","no","university or higher",65,39
"379",6000,"female","white","no","high school",62,64
"380",12000,"female","black","yes","university or higher",66,34
"382",60000,"male","white","no","university or higher",67,63
"383",40000,"female","white","no","university or higher",64,44
"385",43000,"female","white","no","high school",63,38
"386",45000,"female","white","no","university or higher",67,34
"387",6000,"female","white","no","university or higher",68,39
"388",8000,"female","native american","no","high school",64,82
"389",20000,"female","black","no","university or higher",64,39
"391",17000,"male","black","no","high school",66,23
"393",65000,"male","white","no","high school",65,28
"394",50000,"male","white","no","high school",72,41
"398",11000,"female","white","no","high school",68,38
"399",35000,"male","white","no","university or higher",74,30
"400",27000,"male","white","no","high school",63,33
"403",42000,"male","white","no","high school",68,37
"405",20000,"female","white","no","university or higher",67,29
"406",15000,"female","white","no","high school",67,29
"407",10000,"male","white","no","high school",73,21
"409",6000,"male","white","no","elementary",70,78
"412",17000,"female","white","yes","university or higher",65,23
"414",35000,"male","white","yes","university or higher",69,65
"415",28000,"male","white","no","university or higher",77,28
"416",15000,"female","white","no","high school",68,33
"417",20000,"female","white","no","university or higher",62,24
"418",20000,"female","white","no","high school",64,29
"420",10500,"male","asian","yes","high school",67,42
"421",13000,"male","white","no","university or higher",70,22
"422",10000,"female","white","no","high school",62,52
"424",24000,"female","white","no","university or higher",62,29
"426",17000,"female","white","no","university or higher",69,35
"427",11000,"female","white","no","high school",64,48
"429",32000,"female","white","no","university or higher",69,40
"430",17000,"female","white","no","university or higher",59,26
"449",17000,"female","white","no","university or higher",63,26
"450",30000,"female","white","no","university or higher",65,28
"451",15000,"male","white","no","high school",70,32
"454",24000,"female","white","no","university or higher",68,42
"455",10000,"female","white","no","university or higher",65,67
"456",50000,"male","white","no","elementary",69,53
"458",50000,"male","white","no","university or higher",72,53
"460",20000,"female","white","no","university or higher",64,49
"461",30000,"female","white","yes","university or higher",63,54
"468",22000,"female","white","no","university or higher",73,45
"470",27000,"male","white","no","high school",75,24
"473",17500,"female","white","no","university or higher",66,26
"474",16500,"female","white","no","university or higher",66,28
"476",28000,"female","white","no","university or higher",64,39
"477",52000,"female","white","no","university or higher",66,50
"478",15000,"female","white","no","university or higher",64,29
"479",19000,"female","white","no","university or higher",63,32
"483",27000,"male","white","no","high school",73,23
"484",15000,"male","white","no","elementary",72,58
"487",15000,"male","white","no","university or higher",72,33
"488",14500,"female","white","no","high school",64,55
"491",24000,"female","white","no","university or higher",64,30
"495",18000,"male","white","no","university or higher",68,36
"504",27000,"male","white","no","high school",76,39
"505",12000,"female","white","no","high school",72,35
"506",22000,"female","white","no","university or higher",62,47
"507",30000,"female","white","no","university or higher",62,36
"509",35000,"male","white","no","high school",71,61
"510",20000,"male","white","no","high school",74,42
"511",32000,"female","white","no","university or higher",65,32
"512",6000,"female","native american","no","high school",63,31
"513",12000,"female","white","no","high school",67,39
"515",10000,"female","white","no","high school",63,31
"517",12000,"female","white","no","university or higher",64,71
"518",16000,"female","white","no","high school",65,36
"521",25000,"female","white","no","university or higher",63,33
"522",25000,"female","white","no","high school",70,27
"523",32000,"male","white","no","high school",68,30
"525",35000,"male","white","no","university or higher",67,43
"528",6000,"female","white","no","high school",65,28
"529",80000,"male","white","no","university or higher",69,44
"530",20000,"female","white","no","university or higher",68,25
"532",28000,"male","white","yes","university or higher",71,38
"533",26000,"male","white","yes","university or higher",64,23
"534",27000,"male","white","no","high school",74,24
"535",18000,"female","white","no","university or higher",62,41
"537",20000,"male","white","no","high school",69,66
"541",6000,"female","white","no","university or higher",66,48
"549",25000,"male","white","no","high school",67,63
"550",12000,"male","white","no","high school",73,29
"553",12000,"male","white","no","high school",76,57
"554",30000,"male","white","no","university or higher",70,76
"558",26000,"female","black","no","university or higher",63,37
"563",23000,"male","black","no","high school",70,35
"564",21000,"male","white","no","high school",71,33
"565",25000,"female","white","no","high school",65,62
"566",18000,"male","white","no","university or higher",70,75
"568",23900,"female","white","no","high school",64,22
"570",35000,"female","white","no","university or higher",64,40
"571",26000,"male","white","no","university or higher",67,30
"572",25000,"male","white","no","university or higher",66,36
"573",23500,"female","white","no","university or higher",68,27
"574",12000,"female","white","no","high school",65,22
"575",15000,"female","white","no","high school",67,20
"580",6000,"female","white","no","high school",64,67
"581",14000,"male","white","no","high school",71,69
"582",15000,"female","white","no","university or higher",63,31
"587",10000,"female","white","no","university or higher",65,63
"588",45000,"male","white","no","university or higher",66,82
"589",15000,"female","white","no","high school",66,81
"592",20000,"female","white","no","university or higher",59,41
"595",35000,"male","white","no","university or higher",70,30
"596",40000,"male","white","no","university or higher",72,28
"597",35000,"female","white","no","high school",64,72
"599",50000,"female","white","no","university or higher",66,54
"602",35000,"male","white","no","university or higher",69,28
"604",24000,"female","white","no","high school",68,35
"609",35000,"male","white","no","university or higher",74,43
"611",38000,"male","white","no","university or higher",73,74
"616",30000,"male","white","no","high school",67,52
"619",30000,"male","white","no","high school",70,32
"620",6500,"female","white","no","university or higher",64,31
"624",23000,"male","white","no","university or higher",69,69
"629",40000,"male","white","no","university or higher",68,41
"630",30000,"male","white","no","university or higher",72,39
"632",14000,"female","white","no","high school",63,37
"633",15000,"female","white","no","high school",69,34
"634",26000,"female","white","no","university or higher",64,36
"635",8000,"female","white","no","high school",71,25
"636",24000,"female","black","no","university or higher",64,27
"641",5124,"male","white","no","elementary",66,67
"642",10000,"female","white","no","university or higher",61,25
"646",12000,"female","white","no","university or higher",68,32
"650",50000,"male","white","no","university or higher",68,34
"652",23000,"female","white","no","university or higher",64,26
"660",40000,"male","black","no","university or higher",66,34
"661",6000,"female","black","no","university or higher",62,26
"669",41000,"male","white","yes","university or higher",72,32
"671",23000,"female","white","no","university or higher",63,78
"674",21000,"male","white","no","high school",70,23
"676",25000,"male","white","no","high school",71,36
"677",30000,"male","white","no","university or higher",70,46
"678",14000,"female","white","no","high school",64,51
"679",6000,"female","white","no","high school",63,35
"680",14000,"female","white","no","high school",65,46
"681",43000,"male","white","no","high school",71,27
"682",25000,"female","white","no","university or higher",62,33
"683",40000,"male","white","no","high school",73,66
"685",65000,"male","white","no","university or higher",68,40
"686",16000,"male","white","no","university or higher",76,32
"690",8000,"female","white","no","high school",66,71
"691",20000,"female","white","no","university or higher",64,39
"692",14000,"female","white","no","university or higher",60,72
"693",45000,"male","white","no","high school",68,74
"694",8000,"female","white","no","high school",61,72
"696",12000,"male","white","no","high school",66,28
"697",8000,"female","white","no","university or higher",63,31
"698",16000,"female","white","no","university or higher",63,32
"700",6000,"male","white","no","university or higher",74,73
"703",19000,"male","white","no","high school",70,32
"704",21000,"female","white","no","university or higher",68,39
"705",43000,"female","white","no","university or higher",70,46
"706",35000,"male","white","no","university or higher",69,21
"707",8000,"male","white","no","high school",70,75
"708",21000,"female","white","no","university or higher",63,41
"709",5800,"female","white","no","high school",65,30
"710",17000,"male","white","no","high school",69,46
"713",24000,"male","white","no","university or higher",68,49
"716",11000,"female","white","no","high school",66,23
"717",10000,"male","white","no","university or higher",65,27
"718",40000,"male","white","no","university or higher",70,36
"721",40000,"male","white","no","high school",70,47
"722",24000,"female","black","no","university or higher",66,29
"726",24000,"male","white","no","university or higher",68,26
"727",20000,"male","white","no","university or higher",68,33
"730",60000,"male","white","no","university or higher",70,50
"731",11000,"female","white","no","university or higher",65,47
"736",27000,"female","white","no","university or higher",65,30
"737",89000,"male","white","no","university or higher",77,41
"738",40000,"male","white","no","university or higher",70,28
"739",15000,"female","white","no","university or higher",64,26
"743",22000,"female","white","no","high school",64,60
"744",12000,"female","white","no","elementary",64,48
"745",22000,"female","white","no","university or higher",63,28
"746",40000,"female","black","no","high school",58,56
"750",40000,"female","white","no","university or higher",62,44
"752",35000,"female","white","yes","university or higher",64,53
"753",7000,"female","white","no","high school",64,28
"755",14000,"female","white","no","high school",62,37
"757",15000,"female","white","no","high school",64,56
"760",6000,"female","white","no","university or higher",66,34
"761",11000,"female","black","no","high school",69,41
"763",10000,"female","white","no","university or higher",64,31
"766",20000,"male","white","no","university or higher",71,41
"768",7000,"female","white","no","high school",62,73
"769",38000,"male","white","no","high school",68,46
"770",29000,"male","white","no","high school",68,58
"771",20000,"female","white","no","high school",62,44
"772",8000,"female","white","no","high school",63,57
"773",36000,"male","white","no","university or higher",69,51
"775",42000,"female","white","no","university or higher",64,29
"777",25000,"male","white","no","high school",70,22
"780",13000,"male","white","no","high school",69,20
"785",30000,"male","black","no","high school",69,51
"786",7000,"male","white","no","high school",69,23
"788",31000,"female","black","no","high school",60,48
"789",15000,"female","black","no","high school",66,42
"791",50000,"male","white","no","university or higher",67,49
"796",14000,"female","black","no","elementary",64,51
"798",40000,"female","asian","no","university or higher",60,35
"799",24000,"male","white","no","university or higher",68,36
"801",22000,"male","black","no","high school",73,24
"802",20000,"male","white","no","elementary",72,36
"803",20112,"female","white","no","high school",64,38
"804",12000,"male","white","no","university or higher",67,67
"808",41000,"female","white","no","university or higher",67,40
"809",13000,"male","black","no","high school",71,50
"811",60000,"male","white","no","university or higher",73,31
"812",24000,"male","white","no","university or higher",70,25
"813",38000,"male","white","no","university or higher",70,36
"815",13000,"female","white","no","high school",66,30
"817",20000,"female","white","no","university or higher",60,37
"818",22000,"male","white","no","high school",72,28
"821",28000,"male","black","no","high school",75,55
"822",22000,"female","white","no","high school",60,41
"823",30000,"male","black","no","high school",73,44
"825",30000,"female","black","no","high school",65,32
"828",30000,"male","white","no","university or higher",67,31
"829",32000,"female","white","no","high school",61,69
"830",26000,"female","white","no","university or higher",69,43
"831",22000,"female","white","no","university or higher",64,34
"833",25000,"male","white","no","high school",70,33
"834",11000,"female","white","no","high school",68,24
"836",13000,"female","white","no","high school",62,53
"837",10000,"female","white","no","university or higher",64,42
"840",12000,"female","white","no","high school",68,45
"843",7000,"female","white","no","high school",64,64
"844",57000,"male","white","no","university or higher",73,37
"845",36000,"male","white","no","university or higher",73,37
"846",29000,"male","white","yes","university or higher",69,29
"847",8000,"female","white","no","university or higher",68,19
"851",20000,"female","white","no","university or higher",66,41
"853",33000,"male","white","no","high school",66,57
"854",15000,"female","white","yes","high school",68,68
"855",16000,"male","white","no","high school",70,33
"857",8000,"female","white","no","university or higher",66,43
"858",32000,"female","black","no","university or higher",63,34
"859",14500,"male","white","no","high school",75,24
"860",13000,"female","white","no","high school",67,29
"865",7000,"female","white","no","high school",63,25
"866",50000,"female","black","no","university or higher",65,65
"867",12000,"female","black","no","high school",69,35
"868",19000,"male","white","no","university or higher",71,61
"870",9000,"female","white","no","high school",62,55
"872",20000,"female","black","no","high school",65,35
"873",55000,"male","white","yes","university or higher",72,35
"877",10000,"female","white","no","high school",65,40
"880",13000,"female","white","no","high school",63,19
"882",20000,"female","white","no","university or higher",64,31
"884",30000,"male","white","no","high school",72,26
"885",12000,"female","white","no","high school",64,34
"886",26000,"female","white","no","university or higher",70,33
"887",12500,"female","white","no","high school",65,27
"888",8000,"female","white","no","high school",64,29
"889",15000,"female","white","yes","university or higher",64,32
"890",65000,"male","white","no","university or higher",67,25
"891",25000,"male","white","no","high school",73,21
"892",8000,"male","white","yes","university or higher",73,21
"893",15000,"male","asian","no","university or higher",65,21
"894",12000,"female","white","no","university or higher",64,40
"896",35000,"female","black","no","university or higher",67,37
"897",40000,"male","white","no","university or higher",67,31
"899",29000,"male","white","no","high school",74,22
"903",15000,"female","white","no","university or higher",63,31
"904",20000,"male","white","no","high school",74,36
"907",8000,"female","black","no","high school",62,23
"909",25000,"female","white","no","university or higher",67,27
"911",20000,"male","white","no","high school",69,57
"913",30000,"male","white","no","high school",73,34
"914",12000,"female","white","no","high school",63,35
"922",10000,"female","white","no","university or higher",67,32
"923",16000,"male","white","no","high school",69,19
"924",45000,"male","white","no","high school",71,29
"925",40000,"male","white","no","university or higher",72,54
"929",25000,"male","white","no","university or higher",70,81
"930",19000,"female","white","no","university or higher",64,52
"931",17600,"female","white","no","university or higher",64,30
"932",7000,"male","white","no","high school",68,67
"933",30000,"male","white","no","high school",74,32
"934",18000,"female","white","no","high school",62,47
"936",25000,"female","white","no","university or higher",65,47
"938",6000,"female","white","no","elementary",60,62
"939",70000,"male","white","no","university or higher",69,42
"940",15000,"female","asian","no","university or higher",61,34
"942",25000,"female","white","no","university or higher",65,33
"943",35000,"female","white","no","university or higher",66,28
"944",18000,"male","white","no","university or higher",70,24
"945",28000,"male","black","no","university or higher",72,30
"948",15000,"female","white","yes","high school",64,21
"949",22000,"male","white","yes","university or higher",71,28
"951",35000,"male","white","no","high school",73,30
"952",18000,"female","black","no","university or higher",64,46
"953",35000,"male","white","no","university or higher",68,37
"954",16400,"female","black","no","high school",64,21
"955",22000,"male","black","no","university or higher",66,37
"956",30000,"female","white","no","university or higher",67,58
"957",17000,"female","white","yes","high school",64,27
"958",25000,"female","black","no","university or higher",64,36
"959",10000,"female","white","no","high school",62,51
"960",40000,"male","white","no","high school",69,37
"961",12500,"female","white","no","high school",63,63
"965",35000,"male","white","no","university or higher",72,45
"971",21000,"male","white","no","high school",69,51
"972",10000,"female","white","no","university or higher",64,56
"973",33000,"male","white","no","high school",72,26
"974",26000,"male","white","no","university or higher",69,25
"975",60000,"female","white","no","high school",63,78
"978",18000,"male","white","no","university or higher",71,45
"980",15000,"female","white","no","elementary",59,61
"983",60000,"male","white","no","university or higher",77,42
"984",12000,"female","white","no","university or higher",68,69
"985",28000,"male","black","no","university or higher",70,38
"986",42000,"male","white","no","university or higher",69,43
"989",20000,"male","black","no","university or higher",73,33
"990",28000,"male","asian","no","university or higher",66,40
"991",10000,"male","black","no","university or higher",72,62
"993",31000,"male","black","no","high school",72,31
"994",17000,"female","black","no","university or higher",69,37
"995",16000,"female","white","no","high school",67,39
"996",35000,"female","white","no","university or higher",66,38
"1001",16000,"female","white","no","university or higher",68,39
"1002",35000,"female","black","no","university or higher",65,42
"1003",27000,"female","black","no","university or higher",62,33
"1004",25000,"male","white","no","university or higher",69,29
"1006",40000,"male","white","no","university or higher",70,41
"1007",45000,"female","white","no","university or higher",66,43
"1008",14000,"male","white","no","high school",66,23
"1010",25000,"female","white","no","university or higher",66,37
"1012",40000,"male","white","no","high school",72,42
"1015",34000,"male","white","no","high school",69,35
"1016",40000,"male","white","no","high school",66,34
"1018",35000,"male","white","no","university or higher",69,28
"1019",12000,"female","white","yes","high school",60,51
"1020",30000,"female","white","no","university or higher",65,43
"1021",23000,"female","white","no","high school",62,40
"1023",20000,"male","white","no","university or higher",67,25
"1024",10000,"female","black","no","high school",68,62
"1030",60000,"female","black","no","university or higher",66,43
"1031",12000,"male","black","no","university or higher",74,41
"1032",25000,"female","white","no","university or higher",65,61
"1033",22000,"female","black","no","university or higher",63,73
"1035",8000,"male","white","no","university or higher",68,25
"1040",18600,"female","white","no","university or higher",65,26
"1041",20000,"female","white","no","university or higher",62,20
"1043",50000,"female","white","no","university or higher",62,40
"1044",27000,"male","white","no","high school",70,42
"1046",18000,"male","white","no","high school",68,20
"1047",17000,"female","white","no","university or higher",67,23
"1048",10000,"female","white","no","high school",64,74
"1051",14000,"male","white","no","university or higher",70,35
"1052",7200,"male","white","no","university or higher",72,66
"1055",33000,"female","white","no","university or higher",63,39
"1056",23000,"male","white","no","high school",66,34
"1057",10000,"female","white","no","high school",65,41
"1058",22000,"male","white","no","high school",61,24
"1059",13000,"female","white","yes","high school",61,19
"1060",33000,"female","white","no","high school",67,31
"1061",36000,"male","white","no","high school",73,36
"1063",10000,"female","black","no","university or higher",71,32
"1064",6000,"female","white","no","high school",64,60
"1066",12000,"female","white","no","high school",67,43
"1067",10000,"female","white","no","high school",62,47
"1068",21000,"female","white","no","high school",67,45
"1069",26000,"male","white","no","high school",69,32
"1070",22000,"female","black","no","high school",66,50
"1071",23000,"female","black","no","university or higher",66,54
"1072",20000,"male","white","no","university or higher",66,24
"1074",10000,"female","white","no","university or higher",66,38
"1075",15000,"female","white","no","high school",64,71
"1076",7000,"male","black","no","university or higher",72,24
"1077",15000,"female","white","no","high school",64,38
"1079",26000,"female","white","no","university or higher",65,34
"1081",10000,"male","white","no","high school",72,31
"1085",27000,"female","white","yes","university or higher",64,41
"1088",28000,"female","white","no","university or higher",64,25
"1090",15000,"female","white","no","high school",67,27
"1091",55000,"male","white","no","university or higher",75,30
"1092",20000,"female","white","yes","university or higher",66,26
"1093",8500,"female","white","no","high school",67,44
"1097",30000,"male","white","no","university or higher",71,30
"1101",20000,"female","white","no","high school",68,31
"1103",22000,"male","white","no","elementary",70,75
"1104",25000,"male","white","no","university or higher",67,26
"1110",16000,"female","white","no","high school",63,49
"1114",10000,"female","black","no","high school",61,39
"1116",15000,"female","black","no","high school",65,28
"1117",28000,"male","white","no","high school",67,46
"1123",31500,"male","white","no","university or higher",65,35
"1124",95000,"male","white","no","university or higher",66,52
"1127",38000,"male","white","no","high school",67,40
"1130",30000,"male","white","no","high school",74,41
"1131",35900,"male","white","no","university or higher",74,42
"1132",12000,"female","white","no","university or higher",66,22
"1136",10000,"female","white","no","university or higher",69,25
"1137",45000,"female","white","no","university or higher",66,44
"1140",40000,"male","white","no","university or higher",74,56
"1142",21500,"male","white","no","high school",72,27
"1143",14000,"male","white","no","high school",66,62
"1144",38000,"male","native american","no","university or higher",67,54
"1146",14000,"male","white","no","high school",66,73
"1147",15000,"female","white","no","high school",65,31
"1152",24000,"female","white","no","university or higher",68,42
"1154",18000,"female","white","no","university or higher",64,63
"1157",14000,"female","white","no","high school",63,20
"1158",10000,"female","white","no","high school",69,28
"1159",9500,"female","white","no","high school",67,32
"1160",11000,"female","white","no","university or higher",63,66
"1161",17000,"male","white","no","high school",67,67
"1162",6000,"female","white","no","university or higher",60,28
"1164",40000,"male","white","no","university or higher",72,41
"1166",25000,"male","white","no","university or higher",67,39
"1169",28000,"female","black","no","university or higher",66,60
"1170",33000,"female","black","no","high school",66,45
"1176",25000,"female","white","no","high school",69,82
"1177",32000,"male","white","no","high school",72,28
"1180",13000,"female","white","no","elementary",64,58
"1181",8000,"male","white","yes","elementary",64,27
"1186",17000,"female","white","no","high school",64,38
"1187",15000,"female","white","no","high school",67,77
"1188",18000,"male","white","no","university or higher",66,32
"1189",12000,"male","white","no","high school",73,24
"1190",7000,"male","white","no","elementary",74,49
"1197",14000,"male","white","no","high school",63,21
"1198",17000,"female","white","no","high school",63,40
"1199",30000,"male","white","no","high school",66,42
"1205",25000,"male","white","no","high school",70,53
"1207",22000,"female","white","yes","high school",66,33
"1208",15000,"female","white","no","high school",63,21
"1211",20000,"female","white","no","university or higher",63,26
"1212",9000,"female","white","no","high school",69,34
"1214",17000,"male","white","no","high school",73,30
"1219",18000,"female","white","no","high school",64,46
"1220",25000,"female","white","no","university or higher",63,42
"1223",20000,"male","black","no","university or higher",70,41
"1224",75000,"female","white","no","university or higher",64,40
"1226",36000,"female","white","no","high school",61,71
"1227",30000,"male","white","no","high school",72,25
"1228",25000,"female","white","no","university or higher",65,78
"1230",60000,"male","white","no","high school",68,66
"1232",35000,"male","white","no","university or higher",74,76
"1233",9000,"male","white","no","university or higher",67,33
"1234",35000,"male","white","no","high school",70,84
"1235",11000,"female","white","no","high school",66,58
"1236",12000,"male","white","no","high school",71,52
"1237",30000,"male","white","no","high school",71,43
"1238",19000,"male","black","no","elementary",71,57
"1240",9000,"male","white","no","high school",74,61
"1241",30000,"male","white","no","university or higher",75,29
"1243",9000,"male","white","no","high school",72,32
"1244",15000,"female","white","yes","university or higher",66,30
"1245",8000,"female","black","no","high school",65,31
"1247",10000,"female","white","no","high school",66,75
"1249",33000,"male","white","no","high school",72,37
